chr	pos	strand	M	Cov
1	108	+	6	6
1	109	-	10	10
1	114	+	8	8
1	115	-	9	10
1	160	+	11	12
1	161	-	10	10
1	309	+	6	9
1	310	-	7	8
1	499	+	4	4
1	500	-	2	2
1	510	+	4	4
1	511	-	2	3
1	641	+	9	9
1	642	-	4	4
1	646	+	8	8
1	647	-	4	4
1	649	+	7	8
1	650	-	4	4
1	789	+	3	3
1	790	-	6	7
1	808	+	4	4
1	809	-	8	8
1	838	+	9	9
1	839	-	6	6
1	903	+	11	12
1	904	-	10	10
1	910	+	9	10
1	911	-	10	10
1	947	+	5	6
1	948	-	14	14
1	1323	+	6	8
1	1324	-	7	7
1	1438	+	7	11
1	1439	-	3	7
1	4108	-	2	4
1	5458	+	8	9
1	5459	-	3	4
1	5464	+	9	10
1	5465	-	3	4
1	6451	+	5	6
1	6452	-	3	3
1	6501	+	4	4
1	6502	-	4	4
1	6511	+	3	5
1	6512	-	5	5
1	6519	+	4	4
1	6520	-	5	5
1	6682	+	10	11
1	6683	-	6	7
1	6685	+	9	11
1	6686	-	6	7
1	6691	+	10	12
1	6692	-	6	7
1	7019	+	12	12
1	7020	-	7	8
1	7021	+	11	12
1	7022	-	6	8
1	7033	+	10	12
1	7034	-	6	6
1	10512	+	6	6
1	10513	-	6	6
1	10773	+	2	5
1	10774	-	4	10
1	12454	-	2	4
1	16825	-	2	4
1	16870	+	2	6
1	16914	+	2	4
1	16955	+	5	8
1	16956	-	3	4
1	16973	+	8	10
1	16974	-	3	4
1	17543	+	7	8
1	17544	-	6	6
1	17571	+	7	8
1	17572	-	4	6
1	17601	+	3	9
1	17602	-	7	8
1	17639	+	6	7
1	17640	-	11	13
1	17831	+	3	4
1	17832	-	2	3
1	17958	+	1	1
1	17959	-	3	3
1	18104	+	3	3
1	18364	-	2	2
1	18379	-	1	1
1	18435	+	1	1
1	18436	-	1	1
1	18440	+	2	2
1	18441	-	1	1
1	18445	+	3	3
1	18446	-	1	1
1	18447	+	3	3
1	18515	+	4	5
1	18516	-	4	4
1	18539	+	5	6
1	18540	-	4	4
1	18700	+	9	9
1	18701	-	6	8
1	18714	+	9	9
1	18715	-	11	12
1	18754	+	6	6
1	18755	-	12	12
1	18973	+	4	6
1	18974	-	8	12
1	21938	+	2	7
1	21939	-	5	8
1	22514	+	7	11
1	22515	-	2	4
1	22534	+	9	12
1	22535	-	2	3
1	22562	+	13	15
1	22563	-	3	6
1	22565	+	12	14
1	22566	-	3	6
1	22657	+	6	6
1	22658	-	3	3
1	22662	+	6	6
1	22663	-	4	4
1	22736	+	7	9
1	22737	-	6	6
1	22754	+	9	11
1	22755	-	6	7
1	22786	+	8	9
1	22787	-	5	8
1	22798	+	6	7
1	22799	-	6	8
1	22830	+	8	8
1	22831	-	13	14
1	22836	+	6	7
1	22837	-	14	15
1	22869	+	4	4
1	22870	-	11	11
1	22971	+	4	5
1	22972	-	5	10
1	24187	+	2	15
1	24189	+	13	14
1	24190	-	1	1
1	24195	+	14	14
1	24196	-	1	1
1	24302	+	3	3
1	24303	-	3	3
1	24311	+	2	2
1	24312	-	4	4
1	24330	+	3	3
1	24331	-	7	7
1	24351	+	4	4
1	24352	-	6	6
1	24353	+	4	4
1	24354	-	6	6
1	24413	+	4	5
1	24414	-	4	4
1	24455	+	1	1
1	24456	-	5	5
1	24622	+	6	6
1	24623	-	4	4
1	24746	+	2	2
1	24747	-	7	8
1	24834	+	8	8
1	24835	-	6	6
1	24837	+	5	8
1	24838	-	5	5
1	24850	-	3	6
1	25064	+	5	6
1	25065	-	4	5
1	25075	+	6	6
1	25076	-	5	5
1	25083	+	7	7
1	25084	-	5	5
1	25103	+	8	9
1	25104	-	4	4
1	25123	+	9	9
1	25124	-	4	4
1	25167	+	8	8
1	25168	-	5	5
1	25170	+	9	9
1	25171	-	5	5
1	25244	+	6	6
1	25245	-	4	4
1	25332	+	8	8
1	25333	-	7	9
1	25346	+	7	8
1	25347	-	5	6
1	25353	+	7	8
1	25354	-	6	6
1	25648	+	5	7
1	25649	-	1	1
1	25666	+	6	9
1	25667	-	1	1
1	25668	+	7	8
1	25669	-	1	1
1	25671	+	7	8
1	25708	+	7	7
1	25709	-	1	1
1	25772	+	5	5
1	25773	-	2	2
1	25782	+	7	7
1	25783	-	2	2
1	25830	+	9	9
1	25831	-	3	3
1	25843	+	7	7
1	25844	-	3	3
1	25861	+	8	9
1	25862	-	5	5
1	25864	+	8	8
1	25865	-	5	5
1	25946	+	4	4
1	25947	-	6	6
1	25960	+	3	3
1	25961	-	5	5
1	26087	+	4	4
1	26088	-	5	5
1	26099	+	3	3
1	26100	-	5	5
1	26350	+	1	1
1	26351	-	10	10
1	26360	+	2	2
1	26361	-	11	11
1	26365	+	2	3
