chr	pos	strand	M	Cov
1	108	+	8	8
1	109	-	10	10
1	114	+	8	8
1	115	-	8	8
1	160	+	15	17
1	161	-	6	6
1	309	+	6	6
1	310	-	4	4
1	499	+	4	4
1	500	-	8	8
1	510	+	4	4
1	511	-	6	6
1	641	+	8	8
1	642	-	7	7
1	646	+	7	8
1	647	-	7	7
1	649	+	9	9
1	650	-	7	7
1	789	+	3	3
1	790	-	9	9
1	808	+	7	7
1	809	-	9	11
1	838	+	7	7
1	839	-	10	10
1	903	+	8	8
1	904	-	10	10
1	910	+	7	7
1	911	-	8	10
1	947	+	9	10
1	948	-	10	10
1	1323	+	6	6
1	1324	-	13	14
1	1438	+	7	12
1	1439	-	5	9
1	1541	-	2	8
1	4107	+	4	7
1	4108	-	3	5
1	5458	+	4	6
1	5459	-	5	6
1	5464	+	3	5
1	5465	-	5	6
1	6451	+	3	4
1	6452	-	5	6
1	6501	+	1	1
1	6502	-	5	5
1	6512	-	6	6
1	6520	-	5	6
1	6682	+	5	9
1	6683	-	7	8
1	6685	+	7	10
1	6686	-	6	7
1	6691	+	7	9
1	6692	-	4	5
1	7019	+	7	10
1	7020	-	5	5
1	7021	+	8	9
1	7022	-	5	5
1	7033	+	5	5
1	7034	-	4	5
1	10512	+	4	4
1	10513	-	2	2
1	10609	-	3	6
1	10773	+	5	11
1	10774	-	2	4
1	16870	+	2	6
1	16871	-	3	6
1	16955	+	3	9
1	16973	+	2	6
1	16974	-	2	3
1	17543	+	7	11
1	17544	-	8	9
1	17571	+	11	13
1	17572	-	11	16
1	17601	+	5	7
1	17602	-	10	14
1	17639	+	7	8
1	17640	-	20	23
1	17831	+	4	4
1	17832	-	4	4
1	17958	+	3	4
1	17959	-	7	8
1	18104	+	3	3
1	18105	-	3	3
1	18358	-	1	1
1	18364	-	1	1
1	18375	-	1	1
1	18435	+	7	8
1	18440	+	5	8
1	18445	+	7	8
1	18447	+	6	8
1	18515	+	9	9
1	18516	-	4	4
1	18539	+	7	8
1	18540	-	5	5
1	18700	+	8	9
1	18701	-	6	6
1	18714	+	9	11
1	18715	-	4	4
1	18754	+	11	11
1	18755	-	8	8
1	18973	+	2	3
1	18974	-	4	7
1	19102	-	2	8
1	21938	+	6	12
1	21939	-	5	7
1	22514	+	7	10
1	22515	-	4	4
1	22534	+	7	11
1	22535	-	3	3
1	22562	+	7	8
1	22563	-	7	7
1	22565	+	6	8
1	22566	-	7	7
1	22657	+	5	5
1	22658	-	3	3
1	22662	+	5	5
1	22663	-	3	3
1	22736	+	5	5
1	22737	-	5	5
1	22754	+	4	4
1	22755	-	6	6
1	22786	+	6	6
1	22787	-	6	7
1	22798	+	7	8
1	22799	-	6	6
1	22830	+	8	8
1	22831	-	8	8
1	22836	+	7	8
1	22837	-	8	8
