Chr Pos M Cov
chr1 109 1 2
chr1 115 0 2
chr1 161 2 4
chr1 162 1 1
chr1 310 0 4
chr1 311 0 1
chr1 500 0 1
chr1 501 0 1
chr1 511 0 1
chr1 512 0 2
chr1 643 2 2
chr1 648 2 2
chr1 651 2 3
chr1 790 1 1
chr1 791 4 4
chr1 809 2 2
chr1 810 4 5
chr1 839 3 3
chr1 840 7 7
chr1 905 5 5
chr1 912 5 5
chr1 948 1 1
chr1 949 4 4
chr1 1325 0 1
chr1 1439 0 6
chr1 1541 0 2
chr1 1634 0 1
chr1 1649 0 1
chr1 1650 0 1
chr1 2025 0 2
chr1 2195 0 1
chr1 2257 0 3
chr1 2297 0 1
chr1 2401 0 2
chr1 2432 0 2
chr1 2438 0 2
chr1 2479 0 1
chr1 2510 0 1
chr1 2689 0 4
chr1 2807 0 3
chr1 2808 0 1
chr1 2830 0 5
chr1 2845 0 5
chr1 2846 0 1
chr1 2857 0 4
chr1 2858 0 3
chr1 2866 0 3
chr1 2867 0 4
chr1 2877 0 2
chr1 2878 0 5
chr1 2919 0 2
chr1 2930 0 2
chr1 2977 0 1
chr1 2978 0 4
chr1 3020 0 6
chr1 3069 0 5
chr1 3070 0 1
chr1 3091 0 6
chr1 3092 0 1
chr1 3123 0 1
chr1 3124 0 2
chr1 3169 0 5
chr1 3293 0 1
chr1 3307 0 1
chr1 3457 0 1
chr1 3519 0 1
chr1 3542 0 1
chr1 3673 0 2
chr1 3674 0 5
chr1 3697 0 4
chr1 3698 0 6
chr1 3707 0 4
chr1 3708 0 5
chr1 3710 0 5
chr1 3711 0 5
chr1 3713 0 5
chr1 3714 0 3
chr1 3727 0 5
chr1 3728 0 1
chr1 3743 0 7
chr1 3747 0 6
chr1 3748 0 1
chr1 3787 0 4
chr1 3788 0 2
chr1 3791 0 4
chr1 3792 0 2
chr1 3795 0 5
chr1 3796 0 2
chr1 3798 0 5
chr1 3799 0 2
chr1 3807 0 5
chr1 3808 0 3
chr1 3823 0 6
chr1 3824 0 5
chr1 3834 0 7
chr1 3835 0 5
chr1 3850 0 10
chr1 3851 0 7
chr1 3852 0 9
chr1 3853 0 7
chr1 3855 0 9
chr1 3856 0 8
chr1 3873 0 15
chr1 3874 0 8
chr1 3894 0 13
chr1 3895 0 9
chr1 3910 0 11
chr1 3911 0 10
chr1 3922 0 10
chr1 3923 0 5
chr1 3952 0 5
chr1 3953 0 1
chr1 4014 0 5
chr1 4043 0 4
chr1 4067 0 3
chr1 4068 0 1
chr1 4083 0 3
chr1 4084 0 1
chr1 4108 0 3
chr1 4109 0 1
chr1 4160 0 2
chr1 4198 0 1
chr1 4199 0 1
chr1 4243 0 3
chr1 4244 0 5
chr1 4255 0 1
chr1 4256 0 5
chr1 4472 0 2
chr1 4473 0 4
chr1 4529 0 3
chr1 4530 0 5
chr1 4566 0 3
chr1 4567 0 4
chr1 4698 0 1
chr1 4699 0 5
chr1 4718 0 1
chr1 4719 0 9
chr1 4724 0 1
chr1 4725 0 10
chr1 4867 0 3
chr1 4868 0 5
chr1 4870 0 4
chr1 4871 0 5
chr1 4894 0 13
chr1 4895 0 3
chr1 4941 0 13
chr1 4942 0 1
chr1 5030 0 7
chr1 5031 0 3
chr1 5135 0 1
chr1 5151 0 5
chr1 5152 0 3
chr1 5179 0 7
chr1 5180 0 4
chr1 5190 0 8
chr1 5191 0 3
chr1 5226 0 3
chr1 5227 1 7
chr1 5237 2 3
chr1 5238 5 7
chr1 5362 0 1
chr1 5363 0 5
chr1 5449 1 4
chr1 5450 0 3
chr1 5459 3 3
chr1 5460 2 3
chr1 5465 3 3
chr1 5466 4 4
chr1 5488 0 2
chr1 5489 0 4
chr1 5515 0 1
chr1 5516 0 4
chr1 5600 0 8
chr1 5601 0 3
chr1 5641 0 3
chr1 5715 0 3
chr1 5716 0 0
chr1 5720 0 3
chr1 5721 0 1
chr1 5849 0 3
chr1 6012 0 2
chr1 6013 0 3
chr1 6025 0 2
chr1 6026 0 4
chr1 6106 0 4
chr1 6297 0 1
chr1 6334 0 1
chr1 6380 0 1
chr1 6381 0 2
chr1 6452 0 3
chr1 6453 0 2
chr1 6473 0 3
chr1 6474 0 1
chr1 6502 0 1
chr1 6503 2 3
chr1 6512 0 1
chr1 6513 1 4
chr1 6520 0 1
chr1 6521 0 5
chr1 6683 0 4
chr1 6684 0 4
chr1 6686 0 4
chr1 6687 0 4
chr1 6692 0 4
chr1 6693 0 4
chr1 6746 0 4
chr1 6750 0 2
chr1 6817 0 1
chr1 6818 0 3
chr1 6921 0 1
chr1 6981 0 1
chr1 6982 0 2
chr1 7020 0 1
chr1 7021 0 4
chr1 7022 0 1
chr1 7023 0 4
chr1 7034 0 1
chr1 7035 0 6
chr1 7196 2 2
chr1 7197 2 2
chr1 7390 1 1
