chr	pos	strand	M	Cov
1	108	+	5	7
1	109	-	8	8
1	114	+	8	8
1	115	-	7	7
1	160	+	7	8
1	161	-	6	6
1	309	+	3	5
1	310	-	6	10
1	510	+	3	5
1	511	-	2	7
1	641	+	3	5
1	642	-	5	8
1	646	+	2	4
1	647	-	6	8
1	649	+	3	4
1	650	-	5	9
1	789	+	4	4
1	790	-	5	5
1	808	+	4	4
1	809	-	9	9
1	838	+	5	5
1	839	-	8	8
1	903	+	8	8
1	904	-	5	7
1	910	+	5	7
1	911	-	6	8
1	947	+	4	6
1	948	-	9	11
1	3852	-	1	1
1	5448	+	8	8
1	5458	+	9	9
1	5464	+	10	10
1	6502	-	3	6
1	6512	-	3	7
1	6519	+	1	1
1	6520	-	6	9
1	7019	+	8	9
1	7020	-	6	8
1	7021	+	7	10
1	7022	-	7	8
1	7033	+	5	12
1	7034	-	3	7
1	17395	-	2	5
1	17543	+	5	7
1	17544	-	7	9
1	17571	+	6	10
1	17572	-	8	11
1	17601	+	7	10
1	17602	-	8	10
1	17639	+	9	9
1	17640	-	10	10
1	17831	+	9	11
1	17832	-	7	9
1	17958	+	2	2
1	17959	-	6	9
1	18104	+	5	5
1	18358	-	3	4
1	18364	-	2	3
1	18435	+	3	3
1	18440	+	3	3
1	18445	+	3	3
1	18447	+	3	4
1	18515	+	6	8
1	18516	-	5	5
1	18539	+	5	8
1	18540	-	6	6
1	18700	+	8	9
1	18701	-	10	10
1	18714	+	9	10
1	18715	-	8	8
1	18754	+	6	13
1	18755	-	3	6
1	22830	+	2	12
1	22870	-	2	15
1	24009	+	6	9
1	24014	+	4	9
1	24187	+	3	4
1	24189	+	3	4
1	24195	+	6	6
1	24196	-	2	2
1	24235	+	4	4
1	24302	+	3	4
1	24303	-	2	2
1	24311	+	4	4
1	24312	-	2	2
1	24330	+	5	5
1	24351	+	7	7
1	24352	-	2	2
1	24353	+	6	7
1	24354	-	2	2
1	24413	+	4	7
1	24414	-	2	4
1	24455	+	2	4
1	24456	-	5	6
1	24622	+	4	5
1	24623	-	1	1
