chr	pos	strand	M	Cov
1	108	+	10	10
1	109	-	14	17
1	114	+	11	12
1	115	-	17	18
1	160	+	10	15
1	161	-	14	18
1	309	+	4	8
1	310	-	8	17
1	499	+	5	13
1	500	-	2	11
1	510	+	7	14
1	511	-	2	10
1	641	+	8	10
1	642	-	11	16
1	646	+	4	10
1	647	-	8	15
1	649	+	8	10
1	650	-	9	14
1	789	+	5	7
1	790	-	11	13
1	808	+	5	8
1	809	-	14	16
1	838	+	4	7
1	839	-	13	15
1	903	+	10	11
1	904	-	11	18
1	910	+	8	13
1	911	-	12	17
1	947	+	13	17
1	948	-	13	17
1	5448	+	11	14
1	5449	-	7	8
1	5458	+	11	12
1	5459	-	5	7
1	5464	+	9	12
1	5465	-	5	6
1	6501	+	3	7
1	6502	-	2	11
1	6512	-	3	10
1	6519	+	2	8
1	6520	-	5	11
1	6685	+	2	11
1	6692	-	2	12
1	7019	+	11	12
1	7020	-	4	12
1	7021	+	10	12
1	7022	-	9	11
1	7033	+	6	14
1	7034	-	4	13
1	17174	+	1	1
1	17543	+	14	16
1	17544	-	18	22
1	17571	+	21	23
1	17572	-	22	28
1	17601	+	20	22
1	17602	-	21	25
1	17639	+	17	18
1	17640	-	18	22
1	17831	+	14	14
1	17832	-	11	12
1	17958	+	5	7
1	17959	-	10	11
1	18104	+	2	2
1	18105	-	2	3
1	18358	-	4	4
1	18364	-	4	4
1	18375	-	1	1
1	18379	-	1	1
1	18435	+	2	3
1	18440	+	2	3
1	18445	+	3	5
1	18447	+	4	6
1	18515	+	17	18
1	18516	-	8	8
1	18539	+	16	19
1	18540	-	11	11
1	18700	+	17	21
1	18701	-	19	20
1	18714	+	14	16
1	18715	-	15	17
1	18754	+	9	16
1	18755	-	4	14
1	23992	+	3	16
1	23998	+	5	14
1	24009	+	6	18
1	24014	+	7	17
1	24187	+	16	17
1	24188	-	1	1
1	24189	+	16	17
1	24190	-	1	1
1	24195	+	14	15
1	24235	+	10	15
1	24236	-	3	4
1	24268	+	2	16
1	24302	+	15	17
1	24303	-	4	4
1	24311	+	15	17
1	24312	-	4	4
1	24330	+	16	18
1	24331	-	3	3
1	24351	+	13	14
1	24352	-	2	3
1	24353	+	11	14
1	24354	-	3	3
1	24413	+	8	12
1	24414	-	2	3
1	24455	+	4	11
1	24456	-	4	6
1	24622	+	7	8
1	24623	-	8	9
1	24634	+	6	7
1	24635	-	8	10
1	24722	+	8	10
1	24723	-	6	7
1	24746	+	6	8
1	24747	-	7	8
1	24834	+	2	3
1	24835	-	8	11
1	24837	+	2	3
1	24838	-	7	10
1	24850	-	2	10
1	24944	+	12	14
1	24945	-	6	7
1	25064	+	14	14
1	25065	-	9	10
1	25075	+	12	15
1	25076	-	12	13
1	25083	+	14	16
1	25084	-	11	11
1	25103	+	11	13
1	25104	-	9	10
1	25123	+	12	12
1	25124	-	11	11
1	25167	+	10	12
1	25168	-	4	4
1	25170	+	11	12
1	25171	-	3	3
1	25244	+	9	9
1	25245	-	2	3
1	25332	+	8	10
1	25346	+	9	10
1	25347	-	1	1
1	25353	+	7	10
1	25354	-	1	1
1	25648	+	8	8
1	25649	-	14	14
1	25666	+	6	7
1	25667	-	10	11
