chr	pos	strand	M	Cov
1	108	+	10	10
1	109	-	23	23
1	114	+	11	11
1	115	-	24	24
1	160	+	12	12
1	161	-	26	26
1	309	+	10	11
1	310	-	7	9
1	499	+	10	10
1	500	-	8	8
1	510	+	9	9
1	511	-	8	8
1	641	+	6	7
1	642	-	7	7
1	646	+	8	8
1	647	-	7	7
1	649	+	7	7
1	650	-	6	7
1	789	+	6	7
1	790	-	14	15
1	808	+	5	5
1	809	-	17	17
1	838	+	9	10
1	839	-	17	18
1	903	+	10	11
1	904	-	14	14
1	910	+	9	11
1	911	-	15	15
1	947	+	4	5
1	948	-	8	9
1	1323	+	7	10
1	1324	-	18	20
1	1438	+	2	8
1	1439	-	8	13
1	4108	-	5	11
1	5458	+	12	13
1	5464	+	10	12
1	5465	-	2	2
1	6451	+	3	3
1	6452	-	8	8
1	6501	+	3	4
1	6502	-	8	8
1	6511	+	3	4
1	6512	-	8	8
1	6519	+	4	4
1	6520	-	7	7
1	6682	+	6	7
1	6683	-	2	3
1	6685	+	5	6
1	6686	-	3	3
1	6691	+	7	8
1	6692	-	2	3
1	7019	+	4	4
1	7020	-	8	8
1	7021	+	4	4
1	7022	-	8	8
1	7033	+	4	4
1	7034	-	9	9
1	10419	+	2	6
1	10512	+	7	8
1	10513	-	5	6
1	10773	+	8	11
1	10774	-	5	9
1	13402	+	2	9
1	16914	+	2	8
1	16915	-	3	9
1	16955	+	7	13
1	16956	-	5	7
1	16973	+	12	13
1	16974	-	4	5
1	17395	-	3	9
1	17543	+	6	6
1	17544	-	10	11
1	17571	+	8	11
1	17572	-	15	15
1	17601	+	7	12
1	17602	-	10	14
1	17639	+	13	14
1	17640	-	16	16
1	17831	+	6	6
1	17832	-	9	9
1	17958	+	2	2
1	17959	-	3	3
1	18104	+	4	4
1	18105	-	2	2
1	18358	-	1	1
1	18364	-	1	1
1	18375	-	1	1
1	18379	-	1	1
1	18435	+	5	5
1	18440	+	5	5
1	18445	+	5	5
1	18447	+	5	5
1	18515	+	7	8
1	18516	-	4	4
1	18539	+	9	9
1	18540	-	6	6
1	18700	+	11	11
1	18701	-	9	9
1	18714	+	13	13
1	18715	-	7	8
1	18754	+	8	8
1	18755	-	6	8
1	18973	+	5	6
1	18974	-	7	10
1	21919	+	2	14
1	21938	+	4	9
1	21939	-	5	8
1	22514	+	6	8
1	22515	-	3	4
1	22534	+	8	9
1	22535	-	6	6
1	22562	+	6	10
1	22563	-	10	11
1	22565	+	6	10
1	22566	-	10	11
1	22657	+	18	19
1	22658	-	2	2
1	22662	+	17	18
1	22663	-	2	2
1	22736	+	8	9
1	22737	-	4	4
1	22754	+	10	10
1	22755	-	4	4
1	22786	+	10	10
1	22787	-	4	6
1	22798	+	11	11
1	22799	-	6	8
1	22830	+	11	12
1	22831	-	6	8
1	22836	+	11	12
1	22837	-	6	9
1	22869	+	9	10
1	22870	-	7	9
1	22971	+	8	15
1	22972	-	7	13
1	23998	+	2	20
1	24189	+	10	10
1	24195	+	9	9
1	24302	+	4	4
1	24303	-	1	1
1	24311	+	5	5
1	24312	-	1	1
1	24330	+	6	6
1	24331	-	1	1
1	24351	+	6	6
1	24352	-	1	1
1	24353	+	5	6
1	24354	-	2	2
1	24413	+	7	8
1	24414	-	4	4
1	24455	+	8	8
1	24456	-	5	6
1	24622	+	4	4
1	24623	-	8	8
1	24635	-	2	10
1	24746	+	2	4
1	24747	-	10	10
1	24834	+	5	5
1	24835	-	7	8
1	24837	+	5	5
1	24838	-	7	8
1	24849	+	3	4
1	24850	-	6	8
1	25064	+	8	8
1	25065	-	5	5
1	25075	+	7	8
1	25076	-	6	6
1	25083	+	7	7
1	25084	-	5	7
1	25103	+	8	8
1	25104	-	8	8
1	25123	+	8	8
1	25124	-	6	7
1	25167	+	10	10
1	25168	-	6	7
1	25170	+	8	9
1	25171	-	5	5
1	25244	+	9	9
1	25245	-	4	4
1	25332	+	7	8
1	25333	-	2	2
1	25346	+	6	8
1	25347	-	2	2
1	25353	+	9	9
1	25354	-	2	2
1	25648	+	4	4
1	25649	-	4	6
1	25666	+	5	5
1	25667	-	3	3
1	25668	+	6	6
1	25669	-	3	3
1	25671	+	6	6
1	25672	-	3	3
1	25708	+	5	5
1	25709	-	3	3
1	25772	+	4	5
1	25773	-	6	6
1	25782	+	5	5
1	25783	-	5	5
