chr	pos	strand	M	Cov
1	108	+	12	12
1	109	-	9	9
1	114	+	10	11
1	115	-	10	10
1	160	+	8	8
1	161	-	8	9
1	309	+	12	13
1	310	-	7	7
1	499	+	10	11
1	500	-	9	9
1	510	+	11	11
1	511	-	8	9
1	641	+	11	12
1	642	-	10	10
1	646	+	11	12
1	647	-	10	10
1	649	+	11	12
1	650	-	10	10
1	789	+	8	8
1	790	-	12	13
1	808	+	7	7
1	809	-	11	11
1	838	+	5	5
1	839	-	13	13
1	903	+	10	10
1	904	-	11	11
1	910	+	11	11
1	911	-	10	10
1	947	+	13	13
1	948	-	7	8
1	1323	+	10	11
1	1324	-	10	10
1	1438	+	5	14
1	1439	-	8	9
1	4107	+	3	4
1	5458	+	2	2
1	5464	+	3	3
1	5465	-	2	2
1	6451	+	7	7
1	6452	-	6	6
1	6501	+	6	7
1	6502	-	4	4
1	6511	+	6	7
1	6512	-	5	5
1	6519	+	5	6
1	6520	-	4	4
1	6682	+	7	7
1	6683	-	7	9
1	6685	+	6	8
1	6686	-	10	10
1	6691	+	5	8
1	6692	-	8	10
1	7019	+	14	14
1	7020	-	4	4
1	7021	+	14	14
1	7022	-	4	4
1	7033	+	14	14
1	7034	-	2	3
1	10420	-	3	8
1	10512	+	9	10
1	10513	-	9	9
1	10608	+	2	11
1	10609	-	3	12
1	10773	+	5	9
1	10774	-	4	7
1	12453	+	2	5
1	15523	+	2	11
1	15530	+	2	11
1	16842	-	2	8
1	16844	-	2	9
1	16914	+	3	12
1	16955	+	8	14
1	16973	+	11	16
1	16974	-	5	11
1	17543	+	6	6
1	17544	-	12	16
1	17571	+	10	12
1	17572	-	11	16
1	17601	+	9	13
1	17602	-	9	15
1	17639	+	15	15
1	17640	-	9	10
1	17831	+	8	8
1	17832	-	6	7
1	17958	+	1	1
1	17959	-	8	9
1	18104	+	4	4
1	18105	-	2	2
1	18358	-	3	3
1	18364	-	2	2
1	18375	-	1	1
1	18379	-	1	1
1	18435	+	3	3
1	18440	+	4	5
1	18445	+	5	5
1	18447	+	5	6
1	18515	+	6	6
1	18516	-	3	3
1	18539	+	6	6
1	18540	-	7	7
1	18700	+	16	17
1	18701	-	13	14
1	18714	+	15	19
1	18715	-	11	12
1	18754	+	18	21
1	18755	-	7	7
1	18973	+	3	4
1	18974	-	4	8
1	19101	+	2	11
1	21938	+	7	14
1	21939	-	5	18
1	21981	-	3	15
1	22514	+	12	13
1	22515	-	4	5
1	22534	+	12	13
1	22535	-	3	3
1	22562	+	10	11
1	22563	-	5	8
1	22565	+	10	11
1	22566	-	8	9
1	22657	+	14	14
1	22658	-	6	6
1	22662	+	15	15
1	22663	-	6	6
1	22736	+	9	9
1	22737	-	8	9
1	22754	+	8	9
1	22755	-	8	8
1	22786	+	7	8
1	22787	-	9	10
1	22798	+	7	8
1	22799	-	8	10
1	22830	+	13	13
1	22831	-	10	12
1	22836	+	13	13
1	22837	-	12	13
1	22869	+	11	11
1	22870	-	16	17
1	22971	+	4	8
1	22972	-	10	12
1	23026	-	2	10
1	24187	+	3	13
1	24189	+	9	12
1	24190	-	1	1
1	24195	+	10	12
1	24196	-	1	1
1	24302	+	9	9
1	24303	-	1	1
1	24311	+	10	10
1	24312	-	1	1
1	24330	+	10	10
1	24331	-	1	1
1	24351	+	12	12
1	24352	-	2	2
1	24353	+	12	12
1	24413	+	9	9
1	24414	-	6	6
1	24455	+	6	6
1	24456	-	7	7
1	24622	+	8	8
1	24623	-	7	7
1	24634	+	2	7
1	24746	+	3	3
1	24747	-	4	5
1	24834	+	3	4
1	24835	-	10	10
1	24837	+	2	3
1	24838	-	10	11
1	24849	+	2	3
1	24850	-	6	12
1	25064	+	8	9
1	25065	-	10	10
1	25075	+	10	11
1	25076	-	10	10
1	25083	+	9	10
1	25084	-	6	6
1	25103	+	10	10
1	25104	-	5	5
1	25123	+	5	8
1	25124	-	4	4
1	25167	+	5	6
1	25168	-	5	5
1	25170	+	7	7
1	25171	-	5	5
1	25244	+	8	9
1	25245	-	3	4
1	25332	+	3	3
1	25333	-	3	3
1	25346	+	3	3
1	25347	-	5	5
1	25353	+	2	2
1	25354	-	5	5
1	25648	+	7	7
1	25649	-	8	9
1	25666	+	6	7
1	25667	-	4	5
1	25668	+	6	6
1	25669	-	5	5
1	25671	+	7	7
1	25672	-	4	4
1	25708	+	11	11
1	25709	-	1	1
1	25772	+	9	9
1	25773	-	4	4
1	25782	+	8	10
1	25783	-	5	5
1	25830	+	9	9
1	25831	-	5	5
1	25843	+	9	10
1	25844	-	4	4
1	25861	+	7	8
1	25862	-	5	5
1	25864	+	7	8
1	25865	-	5	5
1	25946	+	4	5
1	25947	-	4	4
1	25960	+	5	7
1	25961	-	3	4
1	26087	+	6	6
1	26088	-	5	5
1	26099	+	5	5
1	26100	-	6	6
1	26114	-	2	3
1	26191	+	2	4
1	26350	+	6	6
1	26351	-	2	2
1	26360	+	7	7
1	26361	-	3	3
1	26365	+	7	7
1	26366	-	2	2
1	26379	+	6	6
1	26380	-	4	4
1	26402	+	5	5
1	26403	-	4	4
1	26408	+	4	4
1	26409	-	4	4
1	26557	+	7	8
1	26558	-	6	6
1	26562	+	8	8
1	26563	-	5	5
1	26600	+	7	8
1	26601	-	8	8
1	26649	+	5	5
1	26650	-	6	6
1	26728	+	4	5
1	26729	-	5	5
1	26730	+	5	5
1	26731	-	5	5
1	26786	+	1	1
1	26787	-	3	4
1	26920	+	3	3
1	26921	-	5	5
1	26959	+	4	4
1	26960	-	2	3
1	27148	+	6	6
1	27149	-	5	5
1	27162	+	4	4
1	27163	-	3	3
1	27184	+	4	4
1	27185	-	3	4
1	27484	+	9	9
1	27485	-	6	6
1	27499	+	8	10
1	27500	-	4	5
1	27501	+	9	9
1	27502	-	5	5
1	27624	+	11	11
1	27625	-	8	8
1	27650	+	11	12
1	27651	-	7	7
1	27843	+	3	3
1	27844	-	2	2
1	27977	+	6	6
1	27978	-	6	6
1	27989	+	7	8
1	27990	-	7	7
1	28015	+	11	11
1	28016	-	8	8
1	28020	+	11	11
1	28021	-	7	7
1	28032	+	10	11
1	28033	-	8	8
1	28158	+	16	16
1	28159	-	3	3
1	28299	+	5	6
1	28300	-	2	2
1	28308	+	7	7
1	28309	-	2	3
1	28315	+	7	7
1	28316	-	2	3
1	28323	+	8	8
1	28324	-	2	3
1	28630	+	10	12
1	28631	-	15	15
1	28763	+	1	1
1	28764	-	7	8
1	28848	+	5	5
1	28849	-	5	5
1	28859	+	6	6
1	28860	-	4	4
1	28923	+	7	7
1	28924	-	7	7
1	28947	+	7	7
1	28948	-	10	10
1	28958	+	7	7
1	28959	-	9	11
1	28964	+	6	6
1	28965	-	11	11
1	28978	+	5	6
1	28979	-	7	10
1	29179	+	4	4
1	29180	-	3	3
1	29184	+	4	4
1	29185	-	3	3
1	29206	+	5	6
1	29207	-	3	4
1	29255	+	4	4
1	29256	-	8	8
1	29382	+	7	8
1	29383	-	5	5
1	29387	+	8	8
1	29388	-	5	5
1	29392	+	7	8
1	29393	-	2	4
1	29397	+	7	7
1	29398	-	4	5
1	29427	+	8	9
1	29428	-	2	2
1	29434	+	6	8
1	29435	-	2	2
1	29437	+	5	7
1	29438	-	2	2
1	29463	+	6	7
1	29464	-	4	4
1	29470	+	7	7
1	29471	-	4	4
1	29494	+	7	7
1	29495	-	3	4
1	29506	+	7	7
1	29507	-	2	3
1	29562	+	11	11
1	29563	-	1	1
1	29567	+	11	11
1	29568	-	2	2
1	29586	+	9	10
1	29587	-	3	5
1	29755	+	7	7
1	29756	-	5	5
1	29887	+	7	8
1	29888	-	6	6
1	29889	+	8	9
1	29890	-	6	6
1	29966	+	6	6
1	29967	-	3	3
1	29976	+	6	7
1	29977	-	3	3
1	29986	+	7	7
1	29987	-	3	3
1	29999	+	6	6
1	30000	-	3	3
1	30001	+	6	6
1	30002	-	3	3
1	30006	+	6	6
1	30007	-	4	4
1	30035	+	3	4
1	30036	-	4	5
1	30040	+	4	4
1	30041	-	5	5
1	30049	+	4	5
1	30050	-	6	6
1	30055	+	5	5
1	30056	-	5	5
1	30175	+	3	12
1	30183	+	9	9
1	30184	-	2	2
1	30189	+	9	9
1	30190	-	2	2
1	30464	+	6	6
1	30465	-	8	8
1	30469	+	5	5
1	30470	-	7	8
1	30484	+	3	4
1	30485	-	6	6
1	30521	+	6	8
1	30522	-	6	6
1	30542	+	4	11
1	30561	+	9	10
1	30562	-	4	4
1	30564	+	9	10
1	30565	-	4	4
1	30584	+	11	12
1	30585	-	3	3
1	30593	+	10	11
1	30594	-	2	3
1	30623	+	11	11
1	30624	-	4	4
1	30630	+	10	10
1	30631	-	3	3
1	30690	+	15	15
1	30691	-	4	4
1	30698	+	17	17
1	30699	-	5	5
1	30714	+	19	19
1	30715	-	4	4
1	30878	+	8	9
1	30879	-	5	5
1	31698	+	4	4
1	31699	-	3	3
1	31706	+	4	6
1	31707	-	2	3
1	31709	+	6	6
1	31710	-	3	3
1	31983	+	8	9
1	31984	-	9	9
1	32136	+	5	7
1	32137	-	3	4
1	35020	+	10	10
1	35021	-	3	4
1	35027	+	11	12
1	35028	-	3	4
1	35042	+	11	11
1	35043	-	5	5
1	35050	+	12	12
1	35051	-	5	5
1	35423	+	3	3
1	35424	-	6	6
1	35425	+	4	4
1	35426	-	6	6
1	35842	+	5	5
1	35843	-	5	5
1	35859	+	5	5
1	35860	-	4	4
1	35892	+	3	4
1	35893	-	2	3
1	35900	+	6	6
1	35901	-	2	2
1	36090	+	8	11
1	36091	-	7	7
1	36099	+	10	11
1	36100	-	8	9
1	42234	+	4	9
1	42235	-	4	9
1	42545	+	12	14
1	42546	-	9	13
1	42689	+	12	13
1	42690	-	8	9
1	43097	-	4	13
1	43149	+	2	7
1	43150	-	2	9
1	44726	+	6	8
1	44727	-	9	9
1	47946	+	7	8
1	47947	-	5	5
1	47962	+	8	9
1	47963	-	6	6
1	47965	-	2	6
1	54300	+	10	11
1	54301	-	1	1
1	54306	+	10	12
1	54307	-	2	2
1	54321	+	10	12
1	54322	-	3	3
1	55841	+	6	6
1	55842	-	6	6
1	55919	+	5	6
1	55920	-	10	11
1	55921	+	6	6
1	55922	-	9	9
1	55937	+	5	6
1	55938	-	8	9
1	55997	+	3	4
1	55998	-	11	12
1	56015	+	2	3
1	56016	-	10	10
1	56024	+	2	3
1	56025	-	10	10
1	56042	+	3	4
1	56043	-	7	7
1	56075	+	3	3
1	56076	-	9	9
1	56093	+	3	3
1	56094	-	6	6
1	56120	+	3	3
1	56121	-	9	9
1	56147	+	5	5
1	56148	-	11	12
1	56156	+	5	6
1	56157	-	13	15
1	56201	+	8	10
1	56202	-	16	16
1	56211	+	8	11
1	56212	-	12	13
1	56240	+	9	10
1	56241	-	9	10
1	56258	+	10	10
1	56259	-	12	12
1	56267	+	10	10
1	56268	-	10	11
1	56404	+	13	14
1	56405	-	15	16
1	56429	+	10	10
1	56430	-	14	15
1	56439	+	10	10
1	56440	-	12	13
1	56458	+	8	9
1	56459	-	13	13
1	56519	+	4	4
1	56520	-	7	8
1	56541	+	4	5
1	56542	-	9	9
1	56705	+	2	8
1	56706	-	2	10
1	58264	-	2	3
1	58270	+	2	2
1	58271	-	4	4
1	65399	+	7	7
1	65400	-	8	8
1	70673	+	5	5
1	70674	-	7	11
1	70683	+	4	4
1	70684	-	9	11
1	70691	+	4	5
1	70692	-	11	12
1	70720	+	2	4
1	70721	-	9	10
1	70788	+	5	10
1	70789	-	2	2
1	70834	+	8	9
1	70835	-	4	4
1	70865	+	7	10
1	70866	-	4	5
1	70876	+	7	9
1	70877	-	4	4
1	75925	-	2	8
1	76838	+	7	8
1	76839	-	6	6
1	76856	+	9	11
1	76857	-	5	5
1	76943	+	7	7
1	76944	-	5	6
1	77000	+	5	5
1	77001	-	7	8
1	77036	+	4	4
1	77037	-	5	6
1	77038	+	4	4
1	77039	-	5	6
1	77059	+	5	5
1	77060	-	2	3
1	77220	+	8	8
1	77221	-	8	8
1	77222	+	9	9
1	77223	-	7	7
1	77229	+	10	11
1	77230	-	7	7
1	77241	+	12	14
1	77242	-	7	7
1	77352	+	8	8
1	77353	-	3	5
1	77368	+	7	7
1	77369	-	3	4
1	77371	+	7	7
1	77372	-	3	4
1	77378	+	5	5
1	77379	-	3	4
1	77391	+	5	5
1	77392	-	3	4
1	82873	+	2	12
1	83240	-	2	6
1	83244	+	3	5
1	83245	-	2	7
1	83248	+	3	5
1	83249	-	3	7
1	83272	-	2	7
1	85303	-	2	15
1	85309	-	2	15
1	92671	+	7	7
1	92672	-	4	5
1	92865	+	3	3
1	92866	-	2	2
1	92875	+	4	4
1	92876	-	4	4
1	92889	+	4	4
1	92890	-	6	6
1	93220	+	5	5
1	93221	-	7	7
1	93325	+	6	6
1	93326	-	5	6
1	93531	+	2	2
1	93532	-	4	4
1	93536	-	4	4
1	93798	+	5	5
1	93799	-	3	3
1	93807	+	7	7
1	93808	-	3	3
1	93831	+	9	9
1	93832	-	2	3
1	93834	+	8	8
1	93835	-	3	3
1	93981	+	4	4
1	93982	-	6	6
1	93991	+	4	4
1	93992	-	6	6
1	94025	+	3	4
1	94026	-	4	6
1	94181	+	7	8
1	94182	-	2	2
1	94410	+	14	17
1	94411	-	2	3
1	94415	+	17	18
1	94416	-	3	3
1	94457	+	12	12
1	94458	-	1	1
1	94609	+	8	9
1	94610	-	4	4
1	94612	+	7	9
1	94613	-	4	4
1	94621	+	8	8
1	94622	-	6	6
1	94633	+	8	8
1	94634	-	8	8
1	94711	+	6	7
1	94712	-	5	5
1	94778	+	7	7
1	94779	-	2	2
1	94800	+	9	9
1	94801	-	2	2
1	94991	+	4	4
1	94992	-	7	10
1	95014	+	6	6
1	95015	-	10	10
1	95019	+	6	6
1	95020	-	8	9
1	95240	+	4	5
1	95241	-	2	2
1	95247	+	5	5
1	95248	-	2	2
1	95256	+	3	4
1	95257	-	2	2
1	95263	+	5	5
1	95264	-	2	2
1	95274	+	7	7
1	95275	-	4	5
1	95391	+	2	7
1	95392	-	3	4
1	98213	+	13	14
1	98214	-	12	13
1	98231	+	10	10
1	98232	-	10	11
1	98567	+	3	3
1	98568	-	9	10
1	98573	+	2	3
1	98574	-	11	11
1	101184	+	5	5
1	101185	-	6	7
1	101193	+	2	4
1	101194	-	3	6
1	110702	+	5	7
1	110703	-	6	6
1	110750	+	3	3
1	110851	+	2	9
1	110853	+	7	9
1	110854	-	4	5
1	110871	+	8	9
1	110872	-	6	6
1	110879	+	8	8
1	110880	-	6	6
1	110955	+	5	5
1	110956	-	2	2
1	110987	+	3	3
1	111003	+	3	3
1	111005	+	2	3
1	111021	+	5	5
1	111030	+	6	6
1	111032	+	7	7
1	113059	+	5	9
1	113060	-	3	5
1	113062	+	5	8
1	113063	-	3	5
1	121770	+	1	1
1	121771	-	5	6
1	121780	+	1	1
1	121781	-	5	5
1	121790	+	3	3
1	121791	-	4	4
1	121826	+	6	6
1	121827	-	4	4
1	121829	+	6	6
1	121830	-	4	5
1	121846	-	2	8
1	121934	+	5	5
1	121935	-	4	5
1	121947	+	5	5
1	121948	-	4	4
1	121964	+	7	7
1	122139	+	6	6
1	122140	-	4	4
1	122196	+	3	3
1	122197	-	2	2
1	122199	+	3	3
1	122200	-	2	2
1	122305	+	1	1
1	122306	-	4	4
1	122315	+	1	1
1	122316	-	2	2
1	122403	+	3	3
1	122404	-	2	2
1	122712	+	3	4
1	122713	-	5	6
1	122814	+	3	3
1	122815	-	7	7
1	122921	+	5	5
1	122922	-	5	5
1	122934	+	4	4
1	122935	-	3	4
1	122940	+	4	4
1	122941	-	4	4
1	122943	+	4	4
1	122944	-	3	4
1	122953	+	3	3
1	122954	-	4	5
1	122958	+	2	3
1	122959	-	5	5
1	123077	+	4	4
1	123078	-	9	9
1	123113	+	3	3
1	123114	-	9	9
1	123158	+	2	2
1	123159	-	7	7
1	123169	+	3	3
1	123170	-	6	6
1	123172	+	3	3
1	123173	-	6	7
1	123187	+	2	3
1	123188	-	6	6
1	123210	+	3	3
1	123211	-	5	5
1	123222	+	3	3
1	123223	-	6	6
1	123264	-	9	9
1	123273	-	7	9
1	123275	+	2	2
1	123276	-	8	9
1	123365	+	6	7
1	123366	-	4	4
1	123377	+	4	6
1	123378	-	4	5
1	123610	+	5	6
1	123611	-	5	8
1	123628	+	7	7
1	123629	-	7	10
