Chr Pos M Cov
chr1 109 2 2
chr1 115 0 3
chr1 161 1 6
chr1 310 0 5
chr1 500 0 1
chr1 511 0 3
chr1 642 0 1
chr1 643 3 3
chr1 647 0 1
chr1 648 1 2
chr1 650 0 1
chr1 651 1 3
chr1 790 0 1
chr1 791 1 1
chr1 809 1 1
chr1 810 1 1
chr1 839 1 1
chr1 840 3 3
chr1 904 2 2
chr1 905 5 5
chr1 911 2 2
chr1 912 3 4
chr1 948 1 1
chr1 949 4 4
chr1 1439 0 5
chr1 1541 0 6
chr1 1542 0 2
chr1 2025 0 2
chr1 2195 0 1
chr1 2257 0 3
chr1 2258 0 1
chr1 2296 0 2
chr1 2297 0 1
chr1 2401 0 2
chr1 2432 0 2
chr1 2438 0 3
chr1 2478 0 1
chr1 2479 0 4
chr1 2510 0 7
chr1 2688 0 1
chr1 2807 0 5
chr1 2830 0 5
chr1 2845 0 6
chr1 2857 0 4
chr1 2858 0 1
chr1 2866 0 2
chr1 2867 0 1
chr1 2877 0 2
chr1 2878 0 3
chr1 2918 0 3
chr1 2919 0 2
chr1 2929 0 2
chr1 2930 0 2
chr1 2978 0 4
chr1 3019 0 1
chr1 3020 0 5
chr1 3069 0 2
chr1 3091 0 2
chr1 3123 0 2
chr1 3169 0 3
chr1 3519 0 4
chr1 3542 0 2
chr1 3673 0 3
chr1 3674 0 6
chr1 3697 0 5
chr1 3698 0 2
chr1 3707 0 7
chr1 3708 0 3
chr1 3710 0 6
chr1 3711 0 3
chr1 3713 0 6
chr1 3714 0 3
chr1 3727 0 6
chr1 3728 0 3
chr1 3743 0 6
chr1 3744 0 3
chr1 3747 0 5
chr1 3748 0 1
chr1 3787 0 6
chr1 3791 0 6
chr1 3795 0 5
chr1 3796 0 1
chr1 3798 0 6
chr1 3799 0 1
chr1 3807 0 9
chr1 3808 0 1
chr1 3823 0 8
chr1 3824 0 4
chr1 3834 0 7
chr1 3835 0 6
chr1 3850 0 7
chr1 3851 0 7
chr1 3852 0 7
chr1 3853 0 7
chr1 3855 0 7
chr1 3856 0 8
chr1 3873 0 9
chr1 3874 0 9
chr1 3894 0 8
chr1 3895 0 9
chr1 3910 0 6
chr1 3911 0 8
chr1 3922 0 6
chr1 3923 0 6
chr1 3952 0 7
chr1 3953 0 4
chr1 4014 0 6
chr1 4015 0 2
chr1 4043 0 3
chr1 4044 0 2
chr1 4067 0 9
chr1 4068 0 1
chr1 4083 0 8
chr1 4084 0 1
chr1 4108 0 6
chr1 4109 0 1
chr1 4160 0 9
chr1 4198 0 7
chr1 4243 0 1
chr1 4244 0 3
chr1 4256 0 5
chr1 4472 0 4
chr1 4473 0 7
chr1 4529 0 3
chr1 4530 0 6
chr1 4566 0 3
chr1 4567 0 4
chr1 4699 0 4
chr1 4718 0 1
chr1 4719 0 6
chr1 4724 0 1
chr1 4725 0 8
chr1 4868 0 4
chr1 4871 0 3
chr1 4894 0 1
chr1 4895 0 3
chr1 4941 0 10
chr1 4942 0 1
chr1 5030 0 8
chr1 5031 0 1
chr1 5135 0 5
chr1 5151 0 1
chr1 5152 0 3
chr1 5179 2 5
chr1 5180 0 4
chr1 5190 6 6
chr1 5191 3 3
chr1 5226 6 7
chr1 5227 2 2
chr1 5237 7 7
chr1 5238 3 3
chr1 5363 0 4
chr1 5449 0 3
chr1 5450 0 2
chr1 5459 1 2
chr1 5460 3 3
chr1 5465 2 2
chr1 5466 2 2
chr1 5488 0 1
chr1 5489 0 3
chr1 5515 0 1
chr1 5516 0 4
chr1 5600 0 11
chr1 5601 0 3
chr1 5641 5 8
chr1 5642 0 1
chr1 5715 0 1
chr1 5720 0 1
chr1 5849 0 4
chr1 6012 0 2
chr1 6013 0 5
chr1 6025 0 2
chr1 6026 0 2
chr1 6106 0 9
chr1 6296 0 1
chr1 6297 0 1
chr1 6334 0 1
chr1 6381 0 1
chr1 6452 0 6
chr1 6453 0 7
chr1 6473 0 6
chr1 6474 0 3
chr1 6502 0 2
chr1 6503 0 8
chr1 6513 0 8
chr1 6521 0 8
chr1 6683 0 4
chr1 6684 0 10
chr1 6686 0 4
chr1 6687 0 10
chr1 6692 0 4
chr1 6693 0 10
chr1 6746 0 3
chr1 6750 0 3
chr1 6817 0 4
chr1 6981 0 4
chr1 6982 0 3
chr1 7020 0 5
chr1 7021 0 13
chr1 7022 0 5
chr1 7023 0 14
chr1 7034 0 5
chr1 7035 0 14
chr1 7196 2 2
chr1 7197 1 1
chr1 7390 3 3
chr1 7391 1 1
chr1 7593 0 3
chr1 7594 0 4
chr1 7622 0 2
chr1 7623 0 4
chr1 7663 0 4
chr1 7799 0 5
chr1 7871 0 1
chr1 7872 0 4
chr1 7964 0 2
chr1 8277 0 6
chr1 8313 0 5
chr1 8421 0 1
chr1 8422 0 2
chr1 8431 0 1
chr1 8432 0 2
chr1 8570 0 2
chr1 8571 0 2
chr1 8584 0 1
chr1 8585 0 1
chr1 8595 0 1
chr1 8596 0 1
chr1 8643 0 2
chr1 8659 0 2
chr1 8662 0 2
chr1 8716 0 4
chr1 8732 0 5
chr1 8830 0 2
chr1 8831 0 1
chr1 8868 0 1
chr1 8935 0 4
chr1 8936 0 3
chr1 9063 0 1
chr1 9064 0 1
chr1 9461 0 2
chr1 9462 0 2
chr1 9639 0 2
chr1 9852 0 4
chr1 9922 0 6
chr1 9943 0 3
chr1 10049 0 1
chr1 10071 0 1
chr1 10147 0 1
chr1 10162 0 1
