chr	pos	strand	M	Cov
1	108	+	10	10
1	109	-	26	26
1	114	+	9	10
1	115	-	24	26
1	160	+	7	8
1	161	-	26	28
1	309	+	3	7
1	310	-	8	23
1	500	-	9	18
1	510	+	4	7
1	511	-	5	19
1	641	+	3	4
1	642	-	10	13
1	646	+	4	7
1	647	-	6	13
1	649	+	5	8
1	650	-	6	14
1	789	+	9	12
1	790	-	13	17
1	808	+	9	10
1	809	-	19	19
1	838	+	11	13
1	839	-	16	20
1	903	+	10	12
1	904	-	17	21
1	910	+	10	12
1	911	-	12	19
1	947	+	3	6
1	948	-	17	23
1	5448	+	4	5
1	5458	+	4	5
1	5464	+	3	5
1	6501	+	2	2
1	6502	-	8	10
1	6512	-	3	10
1	6520	-	9	12
1	6685	+	3	6
1	7019	+	9	11
1	7020	-	4	7
1	7021	+	7	10
1	7022	-	6	8
1	7033	+	5	11
1	7034	-	3	8
1	9334	-	2	6
1	17394	+	2	6
1	17395	-	5	14
1	17543	+	14	20
1	17544	-	15	17
1	17571	+	21	22
1	17572	-	18	20
1	17601	+	17	24
1	17602	-	18	24
1	17639	+	19	19
1	17640	-	16	18
1	17831	+	16	16
1	17832	-	11	13
1	17958	+	3	3
1	17959	-	13	13
1	18104	+	5	5
1	18105	-	9	9
1	18358	-	3	3
1	18364	-	3	3
1	18375	-	1	1
1	18378	+	1	1
1	18379	-	1	1
1	18435	+	8	9
1	18436	-	1	1
1	18440	+	8	9
1	18441	-	1	1
1	18445	+	8	9
1	18446	-	1	1
1	18447	+	9	11
1	18448	-	1	1
1	18515	+	10	12
1	18516	-	8	8
1	18539	+	13	15
1	18540	-	8	9
1	18700	+	16	18
1	18701	-	9	10
1	18714	+	12	14
1	18715	-	11	12
1	18754	+	8	14
1	18755	-	7	14
1	23998	+	9	20
1	24009	+	10	17
1	24014	+	10	15
1	24187	+	20	23
1	24189	+	23	24
1	24195	+	21	21
1	24235	+	13	17
1	24302	+	9	10
1	24311	+	8	9
1	24330	+	9	9
1	24351	+	8	8
1	24353	+	8	8
1	24413	+	7	7
1	24414	-	3	4
1	24455	+	4	5
1	24456	-	3	5
1	24622	+	2	2
1	24623	-	11	11
1	24635	-	10	13
1	24722	+	5	5
1	24723	-	8	10
1	24746	+	3	4
1	24747	-	5	11
1	24834	+	9	9
1	24835	-	10	11
1	24837	+	8	9
1	24838	-	11	11
1	24849	+	2	7
1	24850	-	8	11
1	24944	+	9	11
1	24945	-	6	6
1	25064	+	10	11
1	25065	-	11	12
1	25075	+	14	14
1	25076	-	8	10
1	25083	+	14	15
1	25084	-	8	9
1	25103	+	16	18
1	25104	-	8	8
1	25123	+	15	16
1	25124	-	6	6
1	25167	+	14	14
1	25168	-	3	3
1	25170	+	13	13
1	25171	-	3	3
1	25244	+	13	13
1	25332	+	12	15
1	25333	-	1	1
1	25346	+	12	14
1	25347	-	2	2
1	25353	+	9	12
1	25354	-	1	1
1	25648	+	10	11
1	25649	-	1	1
1	25666	+	10	11
1	25667	-	2	2
1	25668	+	10	11
1	25669	-	2	2
1	25671	+	11	11
1	25672	-	2	2
1	25708	+	8	11
1	25772	+	8	8
1	25773	-	2	2
1	25782	+	7	8
1	25830	+	4	4
1	25831	-	3	3
1	25843	+	4	4
1	25844	-	3	4
1	25861	+	5	5
1	25862	-	6	6
1	25864	+	5	5
1	25865	-	6	6
1	25946	+	3	3
1	25947	-	7	7
1	25960	+	4	4
1	25961	-	6	6
